,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
88,407,VINCENNES, 16h19,1 Jan,70000,2175,12,gauche,15,22,3,Biennale Vrie,F,7,False,F.Nivard,R.Baudron,183210,"[7, 7]",[],24,16,1,78.83333333333333
89,408,VINCENNES, 16h19,1 Jan,70000,2175,12,gauche,15,22,4,Aventure Des Is.,F,8,False,Ch.Mottier,G.Delacour,187510,"[2, 1]",[],37,30,6,73.83333333333333
90,409,VINCENNES, 16h19,1 Jan,70000,2175,12,gauche,15,22,5,Armenie Du Lupin,F,8,False,A.Wiels,J.p.Marmion,190130,"[2, 'D']",[],22,21,5,73.83333333333333
91,410,VINCENNES, 16h19,1 Jan,70000,2175,12,gauche,15,22,6,Aventure Magic,F,8,deferre_anterieurs_posterieurs,Mlle.AudreyLaroc.,St.Meunier,193700,"[3, 8]",[],12,15,1,77.0
92,411,VINCENNES, 16h19,1 Jan,70000,2175,12,gauche,15,22,7,Ariane D'and,F,8,False,Cl.Frecelle,F.Furet,201870,[6],[0],87,175,9,74.66666666666667
93,412,VINCENNES, 16h19,1 Jan,70000,2175,12,gauche,15,22,8,Bixenta Du Gers,F,7,deferre_anterieurs_posterieurs,J.y.Ricart,J.m.Bazire,208410,[4],[0],8.8,9.5,7,73.83333333333333
94,413,VINCENNES, 16h52,1 Jan,70000,2175,12,gauche,15,22,9,Bambina Du Parc,F,7,False,M.Abrivard,M.Hue,209850,[6],[0],23,33,4,73.66666666666667
95,414,VINCENNES, 16h52,1 Jan,70000,2175,12,gauche,15,22,10,Breeder's Cup,F,7,deferre_anterieurs_posterieurs,A.Barrier,P.Belloche,217760,"[2, 2]",[],2.8,2.4,False,False
96,415,VINCENNES, 16h52,1 Jan,70000,2175,12,gauche,15,22,11,Bora Fligny,F,7,deferre_anterieurs_posterieurs,Mlle.L.Drapier,Ch.Chalon,221630,[],"[8, 5]",32,26,3,73.66666666666667
97,416,VINCENNES, 16h52,1 Jan,70000,2175,12,gauche,15,22,12,Axola D'ablon,F,8,deferre_anterieurs_posterieurs,Th.Dromigny,N.Dromigny,227700,"['D', 8]",[],24,70,8,74.33333333333333
98,436,VINCENNES, 16h52,1 Jan,35000,2200,16,gauche,15,22,1,Feeling D'espoir,A,False,False,False,3MartialViel,False,[],[],False,66,1,84.33333333333333
99,437,VINCENNES, 16h52,1 Jan,35000,2200,16,gauche,15,22,2,First D'arry,M,3,False,JulienRaffestin,D.Brohier,False,[],[],34,41,4,79.5
100,438,VINCENNES, 16h52,1 Jan,35000,2200,16,gauche,15,22,3,Full Du Langis,M,3,False,E.Raffin,J.Lagenebre,False,[],[],18,32,7,80.5
101,439,VINCENNES, 16h52,1 Jan,35000,2200,16,gauche,15,22,4,Flamboyant Jiel,M,3,False,Y.Lebourgeois,J.l.Dersoir,1450,[],[5],6.6,7.9,3,78.33333333333333
